"Company Name","Pricing Date","ALBERTA","MANITOBA","NEW BRUNSWICK","NOVA SCOTIA","ONTARIO","QUEBEC","SASKATCHEWAN","VANCOUVER RACK","NANAIMO","PRINCE GEROGE RACK","KAMLOOPS RACK","BAINSVILLE","BELMONT","CARDINAL","COCHRANE","CORNWALL","DRYDEN","DUNVEGAN","FORT FRANCES","HAWKESBURY","INGERSOLL","JOYCEVILLE","KINGSTON","NIPIGON","NORTH BAY","ROSSLYN","SAULT STE MARIE","SIOUX LOOKOUT","SPENCERVILLE","THESSALON","THUNDER BAY","WAWA","WHITE RIVER","WOODSTOCK","WINDSOR"
"10040185 CANADA INC O/A FKR TRANSPORT & LOGISTICS","2023-11-09","0.189","0.18","0.08","0.06","0.068","0.06","0.17","0.1","0.09","0.17","0.18","0.055","0.06","0.055","0.05","0.055","0.19","0.055","0.17","0.055","0.06","0.065","0.065","0.17","0.06","0.17","0.06","0.17","0.055","0.06","0.17","0.17","0.17","0.06","0.075"
"101189216 SASKATCHEWAN LTD O/A ANOOP TRANSPORT INC","2023-11-09","0.14","0.15","0.03","0.03","0.038","0.03","0.14","0.07","0.06","0.14","0.15","0.025","0.03","0.025","0.02","0.025","0.16","0.025","0.14","0.025","0.03","0.035","0.035","0.14","0.03","0.14","0.03","0.14","0.025","0.03","0.14","0.14","0.14","0.03","0.045"
"101292614 SASKATCHEWAN LTD O/A STAR LIGHT TRANSPORT","2023-11-09","0.14","0.15","0.03","0.03","0.038","0.03","0.14","0.07","0.06","0.14","0.15","0.025","0.03","0.025","0.02","0.025","0.16","0.025","0.14","0.025","0.03","0.035","0.035","0.14","0.03","0.14","0.03","0.14","0.025","0.03","0.14","0.14","0.14","0.03","0.045"
"102081763 SASKATCHEWAN LTD O/A FRONT LANE CARRIERS","2023-11-09","0.15","0.16","0.04","0.04","0.048","0.04","0.15","0.08","0.07","0.15","0.16","0.035","0.04","0.035","0.03","0.035","0.17","0.035","0.15","0.035","0.04","0.045","0.045","0.15","0.04","0.15","0.04","0.15","0.035","0.04","0.15","0.15","0.15","0.04","0.055"
"102162627 SASKATCHEWAN CORP. O/A CHAMPX EXPRESS INC","2023-11-09","0.125","0.135","0.015","0.015","0.023","0.015","0.125","0.055","0.045","0.125","0.135","0.01","0.015","0.01","0.005","0.01","0.145","0.01","0.125","0.01","0.015","0.02","0.02","0.125","0.015","0.125","0.015","0.125","0.01","0.015","0.125","0.125","0.125","0.015","0.03"
"10279820 CANADA INC O/A KARSON MOTOR FREIGHT","2023-11-09","0.18","0.19","0.07","0.07","0.078","0.07","0.18","0.11","0.1","0.18","0.19","0.065","0.07","0.065","0.06","0.065","0.2","0.065","0.18","0.065","0.07","0.075","0.075","0.18","0.07","0.18","0.07","0.18","0.065","0.07","0.18","0.18","0.18","0.07","0.085"
"10282154 CANADA INC","2023-11-09","0.17","0.18","0.06","0.06","0.068","0.06","0.17","0.1","0.09","0.17","0.18","0.055","0.06","0.055","0.05","0.055","0.19","0.055","0.17","0.055","0.06","0.065","0.065","0.17","0.06","0.17","0.06","0.17","0.055","0.06","0.17","0.17","0.17","0.06","0.075"
"10316156 CANADA INC","2023-11-09","0.18","0.19","0.07","0.07","0.078","0.07","0.18","0.11","0.1","0.18","0.19","0.065","0.07","0.065","0.06","0.065","0.2","0.065","0.18","0.065","0.07","0.075","0.075","0.18","0.07","0.18","0.07","0.18","0.065","0.07","0.18","0.18","0.18","0.07","0.085"
"1063209 ALBERTA LTD","2023-11-09","0.16","0.17","0.05","0.05","0.058","0.05","0.16","0.09","0.08","0.16","0.17","0.045","0.05","0.045","0.04","0.045","0.18","0.045","0.16","0.045","0.05","0.055","0.055","0.16","0.05","0.16","0.05","0.16","0.045","0.05","0.16","0.16","0.16","0.05","0.065"
"10644862 CANADA INC.","2023-11-09","0.155","0.165","0.045","0.045","0.053","0.045","0.155","0.085","0.075","0.155","0.165","0.04","0.045","0.04","0.035","0.04","0.175","0.04","0.155","0.04","0.045","0.05","0.05","0.155","0.045","0.155","0.045","0.155","0.04","0.045","0.155","0.155","0.155","0.045","0.06"
"10821853 CANADA INC O/A HELIOS LOGISTICS","2023-11-09","0.13","0.14","0.02","0.02","0.028","0.02","0.13","0.06","0.05","0.13","0.14","0.015","0.02","0.015","0.01","0.015","0.15","0.015","0.13","0.015","0.02","0.025","0.025","0.13","0.02","0.13","0.02","0.13","0.015","0.02","0.13","0.13","0.13","0.02","0.035"
"10966487 CANADA INC O/A GUARDIAN FREIGHTLINES","2023-11-09","0.14","0.15","0.03","0.03","0.038","0.03","0.14","0.07","0.06","0.14","0.15","0.025","0.03","0.025","0.02","0.025","0.16","0.025","0.14","0.025","0.03","0.035","0.035","0.14","0.03","0.14","0.03","0.14","0.025","0.03","0.14","0.14","0.14","0.03","0.045"
"11090828 CANADA INC O/A DELTA INTERSTATE LOGISTICS","2023-11-09","0.19","0.2","0.08","0.08","0.088","0.08","0.19","0.12","0.11","0.19","0.2","0.075","0.08","0.075","0.07","0.075","0.21","0.075","0.19","0.075","0.08","0.085","0.085","0.19","0.08","0.19","0.08","0.19","0.075","0.08","0.19","0.19","0.19","0.08","0.095"
"11231006 CANADA INC O/A ORION LOGISTICS ","2023-11-09","0.19","0.2","0.08","0.08","0.088","0.08","0.19","0.12","0.11","0.19","0.2","0.075","0.08","0.075","0.07","0.075","0.21","0.075","0.19","0.075","0.08","0.085","0.085","0.19","0.08","0.19","0.08","0.19","0.075","0.08","0.19","0.19","0.19","0.08","0.095"
"11377183 CANADA INC O/A CONFIANCE GROUP OF COMPANIES","2023-11-09","0.155","0.165","0.045","0.045","0.053","0.045","0.155","0.085","0.075","0.155","0.165","0.04","0.045","0.04","0.035","0.04","0.175","0.04","0.155","0.04","0.045","0.05","0.05","0.155","0.045","0.155","0.045","0.155","0.04","0.045","0.155","0.155","0.155","0.045","0.06"
"11395530 CANADA INC.","2023-11-09","0.18","0.19","0.07","0.07","0.078","0.07","0.18","0.11","0.1","0.18","0.19","0.065","0.07","0.065","0.06","0.065","0.2","0.065","0.18","0.065","0.07","0.075","0.075","0.18","0.07","0.18","0.07","0.18","0.065","0.07","0.18","0.18","0.18","0.07","0.085"
"12105683 CANADA INC. O/A DCW SOLUTIONS","2023-11-09","0.18","0.19","0.07","0.07","0.078","0.07","0.18","0.11","0.1","0.18","0.19","0.065","0.07","0.065","0.06","0.065","0.2","0.065","0.18","0.065","0.07","0.075","0.075","0.18","0.07","0.18","0.07","0.18","0.065","0.07","0.18","0.18","0.18","0.07","0.085"
"12640759 CANADA INC O/A MM BROS DHANOA INC","2023-11-09","0.18","0.19","0.07","0.07","0.078","0.07","0.18","0.11","0.1","0.18","0.19","0.065","0.07","0.065","0.06","0.065","0.2","0.065","0.18","0.065","0.07","0.075","0.075","0.18","0.07","0.18","0.07","0.18","0.065","0.07","0.18","0.18","0.18","0.07","0.085"
"13067025 CANADA INC O/A EAGLE TOWING & RECOVERY","2023-11-09","0.155","0.165","0.045","0.045","0.053","0.045","0.155","0.085","0.075","0.155","0.165","0.04","0.045","0.04","0.035","0.04","0.175","0.04","0.155","0.04","0.045","0.05","0.05","0.155","0.045","0.155","0.045","0.155","0.04","0.045","0.155","0.155","0.155","0.045","0.06"
"13184854 CANADA INC","2023-11-09","0.18","0.19","0.07","0.07","0.078","0.07","0.18","0.11","0.1","0.18","0.19","0.065","0.07","0.065","0.06","0.065","0.2","0.065","0.18","0.065","0.07","0.075","0.075","0.18","0.07","0.18","0.07","0.18","0.065","0.07","0.18","0.18","0.18","0.07","0.085"
"14 STAR TRANSPORT INC.","2023-11-09","0.14","0.15","0.03","0.03","0.038","0.03","0.14","0.07","0.06","0.14","0.15","0.025","0.03","0.025","0.02","0.025","0.16","0.025","0.14","0.025","0.03","0.035","0.035","0.14","0.03","0.14","0.03","0.14","0.025","0.03","0.14","0.14","0.14","0.03","0.045"
"1423288 ONTARIO INC O/A JIMMY TRUCKLINE INC.","2023-11-09","0.15","0.16","0.04","0.04","0.048","0.04","0.15","0.08","0.07","0.15","0.16","0.035","0.04","0.035","0.03","0.035","0.17","0.035","0.15","0.035","0.04","0.045","0.045","0.15","0.04","0.15","0.04","0.15","0.035","0.04","0.15","0.15","0.15","0.04","0.055"
"1632886 Ontario Inc OA Johal Transport Service","2023-11-09","0.145","0.155","0.035","0.035","0.043","0.035","0.145","0.075","0.065","0.145","0.155","0.03","0.035","0.03","0.025","0.03","0.165","0.03","0.145","0.03","0.035","0.04","0.04","0.145","0.035","0.145","0.035","0.145","0.03","0.035","0.145","0.145","0.145","0.035","0.05"
"1719124 Ontario Inc O/A CH Expedite","2023-11-09","0.15","0.16","0.04","0.04","0.048","0.04","0.15","0.08","0.07","0.15","0.16","0.035","0.04","0.035","0.03","0.035","0.17","0.035","0.15","0.035","0.04","0.045","0.045","0.15","0.04","0.15","0.04","0.15","0.035","0.04","0.15","0.15","0.15","0.04","0.055"
"1756888 ALBERTA LTD. O/A RSB ENTERPRISES","2023-11-09","0.16","0.17","0.05","0.05","0.058","0.05","0.16","0.09","0.08","0.16","0.17","0.045","0.05","0.045","0.04","0.045","0.18","0.045","0.16","0.045","0.05","0.055","0.055","0.16","0.05","0.16","0.05","0.16","0.045","0.05","0.16","0.16","0.16","0.05","0.065"
"1815506 ONTARIO INC O/A BULLET SPEED TRANSPORT","2023-11-09","0.17","0.18","0.06","0.06","0.068","0.06","0.17","0.1","0.09","0.17","0.18","0.055","0.06","0.055","0.05","0.055","0.19","0.055","0.17","0.055","0.06","0.065","0.065","0.17","0.06","0.17","0.06","0.17","0.055","0.06","0.17","0.17","0.17","0.06","0.075"
"1903808 ALBERTA LTD OA Y&K CARRIERS INC","2023-11-09","0.19","0.2","0.08","0.08","0.088","0.08","0.19","0.12","0.11","0.19","0.2","0.075","0.08","0.075","0.07","0.075","0.21","0.075","0.19","0.075","0.08","0.085","0.085","0.19","0.08","0.19","0.08","0.19","0.075","0.08","0.19","0.19","0.19","0.08","0.095"
"1932339 ONTARIO INC OA TRANS TECH LOGISTICS","2023-11-09","0.15","0.16","0.04","0.04","0.048","0.04","0.15","0.08","0.07","0.15","0.16","0.035","0.04","0.035","0.03","0.035","0.17","0.035","0.15","0.035","0.04","0.045","0.045","0.15","0.04","0.15","0.04","0.15","0.035","0.04","0.15","0.15","0.15","0.04","0.055"
"2025613 ONTARIO INC O/A TMT FREIGHT SYSTEM INC","2023-11-09","0.14","0.15","0.03","0.03","0.038","0.03","0.14","0.07","0.06","0.14","0.15","0.025","0.03","0.025","0.02","0.025","0.16","0.025","0.14","0.025","0.03","0.035","0.035","0.14","0.03","0.14","0.03","0.14","0.025","0.03","0.14","0.14","0.14","0.03","0.045"
"2048870 ONTARIO INC","2023-11-09","0.155","0.165","0.045","0.045","0.053","0.045","0.155","0.085","0.075","0.155","0.165","0.04","0.045","0.04","0.035","0.04","0.175","0.04","0.155","0.04","0.045","0.05","0.05","0.155","0.045","0.155","0.045","0.155","0.04","0.045","0.155","0.155","0.155","0.045","0.06"
"2069881 ONTARIO INC","2023-11-09","0.15","0.16","0.04","0.04","0.048","0.04","0.15","0.08","0.07","0.15","0.16","0.035","0.04","0.035","0.03","0.035","0.17","0.035","0.15","0.035","0.04","0.045","0.045","0.15","0.04","0.15","0.04","0.15","0.035","0.04","0.15","0.15","0.15","0.04","0.055"
"2123610 ONTARIO INC O/A AONE LOGISTICS","2023-11-09","0.18","0.19","0.07","0.07","0.078","0.07","0.18","0.11","0.1","0.18","0.19","0.065","0.07","0.065","0.06","0.065","0.2","0.065","0.18","0.065","0.07","0.075","0.075","0.18","0.07","0.18","0.07","0.18","0.065","0.07","0.18","0.18","0.18","0.07","0.085"
"2133416 ONTARIO INC O/A FLAT LOAD CARRIER","2023-11-09","0.15","0.16","0.04","0.04","0.048","0.04","0.15","0.08","0.07","0.15","0.16","0.035","0.04","0.035","0.03","0.035","0.17","0.035","0.15","0.035","0.04","0.045","0.045","0.15","0.04","0.15","0.04","0.15","0.035","0.04","0.15","0.15","0.15","0.04","0.055"
